Instances,Stage,TriggerRelease(min),ReplanTime(min),NewPickups(zloc),First-echelon,Second-echelon,DecisionTimes(min),NumSorties,Obj1,Obj2,Sum_obj,PenaltyNew,NewSortieCreated,DroneEnergy(Wh),ReplanSolveTime(s),Status
"Ca2-3,5,30.csv",0,0,0,,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 4 | 5 22 13 20 1 | 3 12 3 | 2 14 2,,5,54.3,2.495538,56.795538,6.72,0,1280.569492,0.007,OK
"Ca2-3,5,30.csv",1,4,7,"2,4",1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 4 | 5 22 13 20 1 | 3 12 3 | 2 14 7 1 | 3 9 4,d0:7|d1:7|d2:7|d3:7|d4:7|d5:7,6,64.38,2.603098,66.983098,6.72,1,1388.129876,0.0,OK
"Ca2-3,5,30.csv",2,55,58,16,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 4 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 4 | 3 9 4,d0:58|d1:75|d2:68|d3:58|d4:69|d5:76,6,64.38,2.730407,67.110407,6.72,0,1515.439169,0.0,OK
"Ca2-3,5,30.csv",3,68,71,14,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 4 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 4 | 3 9 19 2,d0:71|d1:75|d2:done@68|d3:71|d4:87|d5:76,6,64.38,2.984502,67.364502,6.72,0,1769.533548,0.0,OK
"Ca2-3,5,30.csv",4,85,88,28,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 4 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 4 | 3 9 19 33 3,d0:88|d1:89|d2:done@68|d3:88|d4:129|d5:138,6,64.38,3.162793,67.542793,6.72,0,1947.825088,0.0,OK
"Ca2-3,5,30.csv",5,97,100,6,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 4 | 3 9 19 33 3,d0:100|d1:106|d2:done@68|d3:100|d4:129|d5:138,6,64.38,3.198874,67.578874,6.72,0,1983.905942,0.0,OK
"Ca2-3,5,30.csv",6,107,110,"10,30",1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 15 4 | 3 9 19 33 3 | 3 35 4,d0:110|d1:133|d2:done@68|d3:110|d4:129|d5:138|d6:110,7,74.46,3.530571,77.990571,6.72,1,2315.60253,0.001,OK
"Ca2-3,5,30.csv",7,122,125,24,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 15 4 | 3 9 19 33 3 | 3 35 29 5,d0:125|d1:133|d2:done@68|d3:125|d4:129|d5:138|d6:125,7,74.46,3.596314,78.056314,6.72,0,2381.346084,0.0,OK
"Ca2-3,5,30.csv",8,127,130,20,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 15 4 | 3 9 19 33 3 | 3 35 29 5 | 3 25 4,d0:130|d1:133|d2:done@68|d3:130|d4:177|d5:138|d6:130|d7:130,8,84.54,3.65289,88.19289,6.72,1,2437.921737,0.0,OK
"Ca2-3,5,30.csv",9,168,171,12,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 12 3 | 2 14 7 21 15 4 | 3 9 19 33 3 | 3 35 29 5 | 3 25 17 1,d0:180|d1:177|d2:done@68|d3:171|d4:177|d5:done@159|d6:179|d7:171,8,84.54,3.819403,88.359403,6.72,0,2604.435297,0.0,OK
"Ca2-3,5,30.csv",10,177,180,18,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 23 12 3 | 2 14 7 21 15 4 | 3 9 19 33 3 | 3 35 29 5 | 3 25 17 1,d0:217|d1:done@177|d2:done@68|d3:180|d4:done@177|d5:done@159|d6:199|d7:197,8,84.54,3.863333,88.403333,6.72,0,2648.364458,0.0,OK
"Ca2-3,5,30.csv",11,181,184,22,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 23 12 3 | 2 14 7 21 15 4 | 3 9 19 33 3 | 3 35 29 27 4 | 3 25 17 1,d0:217|d1:done@177|d2:done@68|d3:184|d4:done@177|d5:done@159|d6:199|d7:197,8,84.54,4.170876,88.710876,6.72,0,2955.907846,0.0,OK
"Ca2-3,5,30.csv",12,199,202,26,1 5 1 | 2 6 2 | 3 8 3,3 10 30 18 28 24 5 | 3 34 26 16 32 6 8 11 2 | 5 22 13 20 1 | 3 23 12 3 | 2 14 7 21 15 4 | 3 9 19 33 3 | 3 35 29 27 31 4 | 3 25 17 1,d0:217|d1:done@177|d2:done@68|d3:202|d4:done@177|d5:done@159|d6:251|d7:238,8,84.54,4.264114,88.804114,6.72,0,3049.145511,0.0,OK
