theta,CustomerGroup,NValidInstances,MeanInitialObj,MeanFinalObj,MeanDeltaObj,MeanActivatedSatellites_FinalStage,MeanInitialNumSorties,MeanFinalNumSorties
1,15 Customers,15,24.6944752666667,39.9921787333333,15.2977034666667,NaN,3.2,4.66666666666667
1,30 Customers,15,31.012788,60.5406878,29.5278998,NaN,4.86666666666667,7.66666666666667
2,15 Customers,15,24.7035983333333,41.3634133333333,16.659815,NaN,3.2,4.8
2,30 Customers,15,31.1919161333333,59.5737751333333,28.381859,NaN,4.8,7.53333333333333
3,15 Customers,15,24.7035983333333,41.3600589333333,16.6564606,NaN,3.2,4.8
3,30 Customers,15,31.3347834,59.0468483333333,27.7120649333333,NaN,4.8,7.46666666666667
4,15 Customers,15,24.7035983333333,41.3577124666667,16.6541141333333,NaN,3.2,4.8
4,30 Customers,15,31.4582738666667,59.8286736,28.3703997333333,NaN,4.8,7.53333333333333
5,15 Customers,15,24.7035983333333,41.3624265333333,16.6588282,NaN,3.2,4.8
5,30 Customers,15,32.2849928,54.5499455333333,22.2649527333333,NaN,5.06666666666667,7.2
